AREA_L_CD,AREA_NAME,Number of Collisions,Percentage of Collisions
01,Etobicoke North,9,5.806451612903226
02,Etobicoke Centre,8,5.161290322580645
03,Etobicoke-Lakeshore,18,11.612903225806452
04,Parkdale-High Park,6,3.870967741935484
05,York South-Weston,3,1.935483870967742
06,York Centre,8,5.161290322580645
07,Humber River-Black Creek,6,3.870967741935484
08,Eglinton-Lawrence,5,3.225806451612903
09,Davenport,2,1.2903225806451613
10,Spadina-Fort York,9,5.806451612903226
11,University-Rosedale,4,2.5806451612903225
12,Toronto-St. Paul's,9,5.806451612903226
13,Toronto Centre,6,3.870967741935484
14,Toronto-Danforth,9,5.806451612903226
15,Don Valley West,1,0.6451612903225806
16,Don Valley East,3,1.935483870967742
17,Don Valley North,3,1.935483870967742
18,Willowdale,3,1.935483870967742
19,Beaches-East York,3,1.935483870967742
20,Scarborough Southwest,9,5.806451612903226
21,Scarborough Centre,11,7.096774193548387
22,Scarborough-Agincourt,7,4.516129032258064
23,Scarborough North,3,1.935483870967742
24,Scarborough-Guildwood,5,3.225806451612903
25,Scarborough-Rouge Park,5,3.225806451612903
