OBJECTID,INDEX,ACCNUM,DATE,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,x,y
1,3363207,882024,1/7/2006 5:00:00 AM,2325,STEELES AVE E,NINTH LINE ST,,Minor Arterial,Scarborough,43.842745,-79.22479,,No Control,Clear,Dark,Wet,Fatal,Approaching,Driver,50 to 54,Fatal,,West,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,,,,,,,,,Yes,,,,,,,,,,,144,Morningside Heights,131,Rouge (131),D42,642702.497369633,4855937.71875665
2,3363869,882497,1/8/2006 5:00:00 AM,1828,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,43.721445,-79.55809,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,10 to 14,Fatal,,East,Other,,,,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Normal,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),D23,616144.186757507,4841944.34893976
3,3363416,882174,1/9/2006 5:00:00 AM,1435,KENNEDY RD,GLAMORGAN AVE,,Major Arterial,Scarborough,43.769445,-79.28229,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,,East,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown,,,,Yes,,Yes,,,,,,,,,,,126,Dorset Park,126,Dorset Park (126),D41,638249.238266577,4847698.94525003
4,3363879,882501,1/11/2006 5:00:00 AM,1120,BARTLEY DR,JINNAH CRT,,Collector,North York,43.722045,-79.30799,,No Control,Clear,Daylight,Wet,Fatal,SMV Other,Passenger,15 to 19,Fatal,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,43,Victoria Village,43,Victoria Village (43),D55,636288.290909834,4842391.87436412
5,3371161,886230,1/21/2006 5:00:00 AM,1829,MIDLAND AVE,GOODLAND GT,,Major Arterial,Scarborough,43.779345,-79.27559,At Intersection,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,,West,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,Yes,Yes,,,,128,Agincourt South-Malvern West,128,Agincourt South-Malvern West (128),D42,638765.590118785,4848809.7033572
6,3367753,884560,1/24/2006 5:00:00 AM,145,WARDEN AVE,LAWRENCE AVE E,,Major Arterial,Scarborough,43.745345,-79.29469,,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,Driver,35 to 39,Fatal,,South,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Unknown,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,119,Wexford/Maryvale,119,Wexford/Maryvale (119),D41,637306.332163321,4845001.64349634
7,3368259,884756,1/24/2006 5:00:00 AM,754,DEAN PARK RD,BRAYMORE BLVD,,Collector,Scarborough,43.803445,-79.17069,At Intersection,Stop Sign,Clear,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,,North,Other,,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,Yes,,Yes,,,,143,West Rouge,131,Rouge (131),D42,647147.977143146,4851667.58451493
8,3368159,884714,1/24/2006 5:00:00 AM,2220,MOUNT PLEASANT RD,WHITEHALL RD,,Major Arterial,Toronto and East York,43.684045,-79.38349,At Intersection,No Control,Rain,Dark,Wet,Fatal,Turning Movement,Driver,45 to 49,Fatal,,South,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,98,Rosedale-Moore Park,98,Rosedale-Moore Park (98),D53,630289.133905044,4838050.04879565
9,3370087,885650,1/29/2006 5:00:00 AM,2048,F G GARDINER XY W  W,KIPLING AVE,,,Etobicoke York,43.618245,-79.52439,,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,15 to 19,Fatal,,South,Other,,,,Pedestrian hit at mid-block,Running onto Roadway,Unknown,,,,Yes,,Yes,,,,,,,,,,,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),D22,619062.576009373,4830530.4135772
10,3376949,888497,2/15/2006 5:00:00 AM,935,WESTWOOD AVE,WOODYCREST AVE,,Local,Toronto and East York,43.687345,-79.34469,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,,East,Other,,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,,Yes,,,,59,Danforth East York,59,Danforth East York (59),D55,633409.094091494,4838478.2472011
